step,reason,short_reason,number_dropped,n_rows,order
chla harmonization,Starting dataset,Start,0,4347163,0
chla harmonization,Filtered for only water media,Water media,0,4347163,1
chla harmonization,Dropped rows containing fail-related language,"Fails, etc.",83910,4263253,2
chla harmonization,Dropped rows while cleaning MDLs,Clean MDLs,7486,4255767,3
chla harmonization,Dropped rows while cleaning approximate values,Clean approximates,0,4255767,4
chla harmonization,Dropped rows while cleaning 'greater than' values,Greater thans,0,4255767,5
chla harmonization,Dropped unresolved NAs,Unresolved NAs,0,4255767,6
chla harmonization,Dropped rows while harmonizing units,Harmonize units,190238,4065529,7
chla harmonization,Dropped rows while cleaning depths,Clean depths,0,4065529,8
chla harmonization,Dropped rows while tiering analytical methods,Analytical methods,66900,3998629,9
chla harmonization,Dropped rows while assigning field flags,Field flagging,0,3998629,10
chla harmonization,Dropped rows while aggregating simultaneous records,Simultaneous records,1107428,2891201,11
